timestamp,wall_time,event,state,frame_seq,image,x,y,z,roll,pitch,yaw,waypoint_x,waypoint_y,waypoint_z,waypoint_yaw,waypoint_max_speed_mps,detected_gates,gate_widths_m,gate_reprojection_errors_px,gate_world_centers_m,message
1779187813.4072392,1779187813.4073603,pose,IDLE,,,0.6094789505004883,0.6297724843025208,1.200364351272583,10.559504508972168,-5.543507099151611,173.16400146484375,,,,,,,,,,
1779187813.1899168,1779187813.419101,detection_2d,IDLE,176,,,,,,,,,,,,,2,,,,
1779187813.1899168,1779187813.4530847,gate_3d,IDLE,176,,,,,,,,,,,,,2,"[0.5100000000000002, 0.2]","[0.2602716751062951, 1.2089370660291037]","[[-0.5854064454825874, 2.762404356568802, 2.6192915106552865], [-1.0053289304449569, -0.3972752704762234, 2.916937001900755]]",
1779187813.508426,1779187813.5085478,pose,IDLE,,,0.6487040519714355,0.6579506397247314,1.1897019147872925,2.3902957439422607,-9.13988208770752,172.74441528320312,,,,,,,,,,
1779187813.5409873,1779187813.543022,frame,IDLE,178,img_000178.png,,,,,,,,,,,,,,,,
1779187813.6065595,1779187813.6068103,pose,IDLE,,,0.5731438994407654,0.6274334788322449,1.200876235961914,-2.4392223358154297,-6.550802707672119,172.09686279296875,,,,,,,,,,
1779187813.1910436,1779187813.6516013,detection_2d,IDLE,177,,,,,,,,,,,,,3,,,,
1779187813.1910436,1779187813.6862326,gate_3d,IDLE,177,,,,,,,,,,,,,3,"[1.2000000000000008, 1.2000000000000008, 0.38000000000000017]","[2.597580038660158, 1.49300668201748, 3.7728992520320666]","[[-0.2678121122777622, 1.1666379342468325, 1.5842560249306261], [-3.5969431274993386, 1.0724476462848807, 1.984394504615411], [-0.0377121469177972, 0.3289153798812492, 1.5188190538058155]]",
1779187813.7067585,1779187813.7068744,pose,IDLE,,,0.5488894581794739,0.6349902749061584,1.1972174644470215,-0.9560997486114502,1.588877558708191,171.21311950683594,,,,,,,,,,
1779187813.8061728,1779187813.8065262,pose,IDLE,,,0.5278765559196472,0.6394350528717041,1.1966873407363892,-0.03121088817715645,4.733245849609375,171.66510009765625,,,,,,,,,,
1779187813.9061432,1779187813.9062886,pose,IDLE,,,0.44880467653274536,0.5909423232078552,1.1978166103363037,0.7536565065383911,5.176459789276123,173.2131805419922,,,,,,,,,,
1779187813.5409873,1779187813.9150457,detection_2d,IDLE,178,,,,,,,,,,,,,2,,,,
1779187813.5409873,1779187813.933619,gate_3d,IDLE,178,,,,,,,,,,,,,2,"[0.6700000000000004, 0.9000000000000006]","[3.3764230564797244, 1.7414588320521818]","[[-0.38549306076903134, 0.3603680015608377, 1.6853608148790653], [-0.4212927408820969, 1.270468232722832, 1.8193740898883766]]",
1779187814.006573,1779187814.0067613,pose,IDLE,,,0.43178486824035645,0.5839822292327881,1.1922043561935425,3.0257720947265625,6.439577102661133,174.65444946289062,,,,,,,,,,
1779187814.1064441,1779187814.1066077,pose,IDLE,,,0.42952051758766174,0.5753799676895142,1.2170579433441162,2.8634254932403564,4.242145538330078,174.75437927246094,,,,,,,,,,
1779187814.2071695,1779187814.2073126,pose,IDLE,,,0.46667537093162537,0.5926304459571838,1.2058442831039429,1.378254771232605,1.5504266023635864,175.37173461914062,,,,,,,,,,
1779187814.236959,1779187814.2411935,frame,IDLE,179,img_000179.png,,,,,,,,,,,,,,,,
1779187814.2387114,1779187814.2434385,frame,IDLE,180,img_000180.png,,,,,,,,,,,,,,,,
1779187814.3057342,1779187814.3058674,pose,IDLE,,,0.4797745645046234,0.595967173576355,1.2033673524856567,-0.5966142416000366,-2.174344539642334,174.8858642578125,,,,,,,,,,
1779187814.4065292,1779187814.406706,pose,IDLE,,,0.5063507556915283,0.6363171339035034,1.2145707607269287,-0.41635724902153015,-2.5287458896636963,174.17379760742188,,,,,,,,,,
1779187814.236959,1779187814.4700954,detection_2d,IDLE,179,,,,,,,,,,,,,1,,,,
1779187814.236959,1779187814.4875338,gate_3d,IDLE,179,,,,,,,,,,,,,1,[1.2000000000000008],[3.085919144418255],"[[-0.31594458341098586, 1.1009299437070887, 1.6504278626731905]]",
1779187814.5074496,1779187814.5083983,pose,IDLE,,,0.4832650125026703,0.5993627309799194,1.2014073133468628,-4.797969818115234,-4.132841110229492,173.82830810546875,,,,,,,,,,
1779187814.6091313,1779187814.6093106,pose,IDLE,,,0.480165958404541,0.5795402526855469,1.203984260559082,-0.001982351066544652,-0.19039808213710785,173.76353454589844,,,,,,,,,,
1779187814.2387114,1779187814.6929312,detection_2d,IDLE,180,,,,,,,,,,,,,1,,,,
1779187814.2387114,1779187814.7040648,gate_3d,IDLE,180,,,,,,,,,,,,,1,[0.37000000000000016],[2.062361371550751],"[[-0.8133748466142028, 0.036398286140360545, 2.2589982477322357]]",
1779187814.7072046,1779187814.707349,pose,IDLE,,,0.48181387782096863,0.572216808795929,1.2075482606887817,2.32641863822937,0.9125527143478394,174.23834228515625,,,,,,,,,,
1779187814.805779,1779187814.8059175,pose,IDLE,,,0.4780646860599518,0.565430760383606,1.2027928829193115,2.5052902698516846,0.5286126732826233,174.3151397705078,,,,,,,,,,
1779187814.8430052,1779187814.8468084,frame,IDLE,181,img_000181.png,,,,,,,,,,,,,,,,
1779187814.8611639,1779187814.8622506,frame,IDLE,182,img_000182.png,,,,,,,,,,,,,,,,
1779187814.9057283,1779187814.9058836,pose,IDLE,,,0.4758528172969818,0.5643150806427002,1.204521656036377,2.0797853469848633,0.3287617862224579,174.35919189453125,,,,,,,,,,
1779187815.0070035,1779187815.0072012,pose,IDLE,,,0.4743666648864746,0.5659967660903931,1.2086567878723145,0.8434174060821533,0.20549330115318298,174.3842010498047,,,,,,,,,,
1779187814.8430052,1779187815.0631652,detection_2d,IDLE,181,,,,,,,,,,,,,3,,,,
1779187814.8430052,1779187815.112991,gate_3d,IDLE,181,,,,,,,,,,,,,3,"[1.0400000000000007, 0.8900000000000006, 0.2]","[1.8853051384214663, 0.24815591152537772, 0.20711889836284555]","[[-0.17741139725512406, 1.0794652219042555, 1.5134895339681338], [-1.7272724911011623, 0.7439412102867238, 1.5881172281757057], [-2.00103756673727, -0.4382995599518942, 1.8191479378943287]]",
1779187815.1047468,1779187815.1150787,pose,IDLE,,,0.4746858477592468,0.5681023001670837,1.2117931842803955,-0.25851020216941833,0.04526698961853981,174.85459899902344,,,,,,,,,,
1779187815.2046368,1779187815.204833,pose,IDLE,,,0.4701807200908661,0.5632359981536865,1.198049545288086,-0.885523796081543,-0.11253312230110168,175.16954040527344,,,,,,,,,,
1779187815.2374048,1779187815.2403302,frame,IDLE,183,img_000183.png,,,,,,,,,,,,,,,,
1779187815.304485,1779187815.3046987,pose,IDLE,,,0.4682675302028656,0.5600020289421082,1.1820329427719116,-0.2885316014289856,-0.057259347289800644,175.1981201171875,,,,,,,,,,
1779187814.8611639,1779187815.3162386,detection_2d,IDLE,182,,,,,,,,,,,,,0,,,,
1779187814.8611639,1779187815.3169017,gate_3d,IDLE,182,,,,,,,,,,,,,0,[],[],,
1779187815.4047184,1779187815.404878,pose,IDLE,,,0.46798524260520935,0.5579466223716736,1.1958774328231812,0.18911364674568176,0.17506927251815796,174.8336944580078,,,,,,,,,,
1779187815.5044205,1779187815.5045235,pose,IDLE,,,0.4643217921257019,0.5514397621154785,1.1971882581710815,-0.01908665895462036,0.13730043172836304,175.0193634033203,,,,,,,,,,
1779187815.520152,1779187815.5213668,frame,IDLE,184,img_000184.png,,,,,,,,,,,,,,,,
1779187815.2374048,1779187815.5990076,detection_2d,IDLE,183,,,,,,,,,,,,,3,,,,
1779187815.2374048,1779187815.6540134,gate_3d,IDLE,183,,,,,,,,,,,,,3,"[0.4200000000000002, 0.6900000000000004, 0.22000000000000003]","[0.12662646219474763, 3.35746006594833, 0.12026803592965252]","[[-1.4445797151992392, 0.8510003859935524, 1.3879510076699777], [-0.07052253025368718, 0.9444557511831055, 1.4153503689397373], [-1.9868144013459133, -0.41121896400095515, 1.5941246615078648]]",
1779187815.6039424,1779187815.6562216,pose,IDLE,,,0.45975902676582336,0.548862874507904,1.1936370134353638,-0.3077077865600586,-0.15950050950050354,175.44366455078125,,,,,,,,,,
1779187815.7038572,1779187815.7041135,pose,IDLE,,,0.47349661588668823,0.5530762076377869,1.2086941003799438,1.3529460430145264,0.9853039383888245,175.63601684570312,,,,,,,,,,
1779187815.8039913,1779187815.8041523,pose,IDLE,,,0.4788667559623718,0.549250602722168,1.2145812511444092,0.7853269577026367,0.024339862167835236,176.1714324951172,,,,,,,,,,
1779187815.520152,1779187815.8424284,detection_2d,IDLE,184,,,,,,,,,,,,,0,,,,
1779187815.520152,1779187815.8425853,gate_3d,IDLE,184,,,,,,,,,,,,,0,[],[],,
1779187815.8603685,1779187815.8640594,frame,IDLE,185,img_000185.png,,,,,,,,,,,,,,,,
1779187815.9052436,1779187815.9054475,pose,IDLE,,,0.48433002829551697,0.5611419677734375,1.2163633108139038,10.411102294921875,0.43249431252479553,177.64122009277344,,,,,,,,,,
